# os.name = Windows 10
# os.version = 10.0
# number extendedKeyCode keyChar keyCode keyLocation modifiersEx paramString
27	512	64	512	1	0	KEY_PRESSED,keyCode=512,keyText=アット,keyChar='@',keyLocation=KEY_LOCATION_STANDARD,rawCode=192,primaryLevelUnicode=64,scancode=26,extendedKeyCode=0x200
28	91	91	91	1	0	KEY_PRESSED,keyCode=91,keyText=左大カッコ,keyChar='[',keyLocation=KEY_LOCATION_STANDARD,rawCode=219,primaryLevelUnicode=91,scancode=27,extendedKeyCode=0x5b
29	10	10	10	1	0	KEY_PRESSED,keyCode=10,keyText=Enter,keyChar=Enter,keyLocation=KEY_LOCATION_STANDARD,rawCode=13,primaryLevelUnicode=13,scancode=28,extendedKeyCode=0xa
30	65	97	65	1	0	KEY_PRESSED,keyCode=65,keyText=A,keyChar='a',keyLocation=KEY_LOCATION_STANDARD,rawCode=65,primaryLevelUnicode=97,scancode=30,extendedKeyCode=0x41
31	83	115	83	1	0	KEY_PRESSED,keyCode=83,keyText=S,keyChar='s',keyLocation=KEY_LOCATION_STANDARD,rawCode=83,primaryLevelUnicode=115,scancode=31,extendedKeyCode=0x53
32	68	100	68	1	0	KEY_PRESSED,keyCode=68,keyText=D,keyChar='d',keyLocation=KEY_LOCATION_STANDARD,rawCode=68,primaryLevelUnicode=100,scancode=32,extendedKeyCode=0x44
33	70	102	70	1	0	KEY_PRESSED,keyCode=70,keyText=F,keyChar='f',keyLocation=KEY_LOCATION_STANDARD,rawCode=70,primaryLevelUnicode=102,scancode=33,extendedKeyCode=0x46
34	71	103	71	1	0	KEY_PRESSED,keyCode=71,keyText=G,keyChar='g',keyLocation=KEY_LOCATION_STANDARD,rawCode=71,primaryLevelUnicode=103,scancode=34,extendedKeyCode=0x47
35	72	104	72	1	0	KEY_PRESSED,keyCode=72,keyText=H,keyChar='h',keyLocation=KEY_LOCATION_STANDARD,rawCode=72,primaryLevelUnicode=104,scancode=35,extendedKeyCode=0x48
36	74	106	74	1	0	KEY_PRESSED,keyCode=74,keyText=J,keyChar='j',keyLocation=KEY_LOCATION_STANDARD,rawCode=74,primaryLevelUnicode=106,scancode=36,extendedKeyCode=0x4a
37	75	107	75	1	0	KEY_PRESSED,keyCode=75,keyText=K,keyChar='k',keyLocation=KEY_LOCATION_STANDARD,rawCode=75,primaryLevelUnicode=107,scancode=37,extendedKeyCode=0x4b
38	76	108	76	1	0	KEY_PRESSED,keyCode=76,keyText=L,keyChar='l',keyLocation=KEY_LOCATION_STANDARD,rawCode=76,primaryLevelUnicode=108,scancode=38,extendedKeyCode=0x4c
39	59	59	59	1	0	KEY_PRESSED,keyCode=59,keyText=セミコロン,keyChar=';',keyLocation=KEY_LOCATION_STANDARD,rawCode=187,primaryLevelUnicode=59,scancode=39,extendedKeyCode=0x3b
40	513	58	513	1	0	KEY_PRESSED,keyCode=513,keyText=コロン,keyChar=':',keyLocation=KEY_LOCATION_STANDARD,rawCode=186,primaryLevelUnicode=58,scancode=40,extendedKeyCode=0x201
41	93	93	93	1	0	KEY_PRESSED,keyCode=93,keyText=右大カッコ,keyChar=']',keyLocation=KEY_LOCATION_STANDARD,rawCode=221,primaryLevelUnicode=93,scancode=43,extendedKeyCode=0x5d
